iter	Logloss
0	0.6600765271
1	0.6291374145
2	0.6033978603
3	0.5810639337
4	0.5612476953
5	0.5434324311
6	0.528186041
7	0.5156222777
8	0.5046173787
9	0.4940770182
10	0.4841665242
11	0.4759602862
12	0.4686741837
13	0.4630082473
14	0.4581441161
15	0.4534847611
16	0.4486344479
17	0.4443636064
18	0.4403040789
19	0.4370732176
20	0.4339972617
21	0.4314182674
22	0.4283680076
23	0.4260834344
24	0.424444247
25	0.4220530946
26	0.4199175002
27	0.4180501592
28	0.416391781
29	0.4146178054
30	0.4132266483
31	0.4119444845
32	0.4104196603
33	0.4088549277
34	0.4078088997
35	0.4063208671
36	0.4051448073
37	0.4042286757
38	0.4029330161
39	0.4018257856
40	0.4009339009
41	0.3999819653
42	0.3989055972
43	0.3984286022
44	0.3975064502
45	0.3968545842
46	0.3959432252
47	0.3951088414
48	0.3944778698
49	0.3941315456
50	0.3935875863
51	0.3927768143
52	0.3920529016
53	0.3912515115
54	0.3906650873
55	0.390040036
56	0.3897730151
57	0.3893073198
58	0.3888250873
59	0.388359848
60	0.3879507285
61	0.3873416109
62	0.3868035155
63	0.3865564301
64	0.3861936595
65	0.3856991268
66	0.3854271945
67	0.3850239331
68	0.384443939
69	0.3838158082
70	0.3834823556
71	0.3831206025
72	0.3828362164
73	0.3824512447
74	0.3821128171
75	0.381897355
76	0.3815398749
77	0.3811292571
78	0.3806185413
79	0.3802114763
80	0.3800091064
81	0.3796109071
82	0.379031337
83	0.3785864433
84	0.3782255881
85	0.3776919262
86	0.3774081055
87	0.3768978976
88	0.376572427
89	0.3761737069
90	0.37579532
91	0.375598521
92	0.3753904063
93	0.3751004797
94	0.3744665128
95	0.37446393
96	0.374219936
97	0.3737577671
98	0.3733050176
99	0.3729751958
100	0.3728946253
101	0.372586942
102	0.3723531096
103	0.371969824
104	0.3713524951
105	0.3708373167
106	0.3706432856
107	0.3702714665
108	0.3698363959
109	0.3693721832
110	0.3690036614
111	0.3687242546
112	0.3685936206
113	0.3682093271
114	0.3677982028
115	0.3674836836
116	0.3673417286
117	0.3669303186
118	0.3666300435
119	0.3662316293
120	0.3659776429
121	0.3656282019
122	0.3652649575
123	0.3651203311
124	0.364892556
125	0.3647181433
126	0.3643137401
127	0.3641157387
128	0.363942598
129	0.3635653013
130	0.3632155097
131	0.3629754393
132	0.3625501766
133	0.3622526558
134	0.3620058461
135	0.3617074562
136	0.3614172564
137	0.3612318512
138	0.3609186928
139	0.3606138444
140	0.3600951593
141	0.3597654899
142	0.3594990341
143	0.3591390765
144	0.3588392487
145	0.358522421
146	0.358245971
147	0.3580168106
148	0.3577149759
149	0.3574841182
150	0.3572717267
151	0.3568777655
152	0.3566303353
153	0.3563362751
154	0.3559090041
155	0.3553851289
156	0.3550325062
157	0.3546548027
158	0.3544612213
159	0.354133074
160	0.3539016691
161	0.35367927
162	0.3534862709
163	0.3530960316
164	0.3527948259
165	0.3526569792
166	0.3522967476
167	0.3520393383
168	0.3517966706
169	0.3513859823
170	0.3509709179
171	0.3507262334
172	0.3504142592
173	0.3501152204
174	0.3499045028
175	0.3496872092
176	0.3493735747
177	0.3489703789
178	0.3486836102
179	0.3483173322
180	0.3478163566
181	0.3474626807
182	0.3472229541
183	0.3470506265
184	0.3468276918
185	0.3464860601
186	0.3460751219
187	0.3458254645
188	0.3456176729
189	0.3453492213
190	0.3451839801
191	0.3448512287
192	0.3443995425
193	0.3442060343
194	0.3438264901
195	0.3435527968
196	0.3432497279
197	0.3428097317
198	0.3423520323
199	0.3420081379
200	0.341815622
201	0.3413870669
202	0.3411774857
203	0.3409527796
204	0.340667961
205	0.3404258615
206	0.3403096077
207	0.3399904731
208	0.3396190919
209	0.3392964862
210	0.3389430052
211	0.3386857205
212	0.3384822273
213	0.3383410975
214	0.3381200935
215	0.3377573042
216	0.3374404976
217	0.3371774239
218	0.3368914692
219	0.3365998876
220	0.3363878727
221	0.3361006896
222	0.3358382082
223	0.3354670262
224	0.3352276391
225	0.3350493451
226	0.3347893484
227	0.3345917569
228	0.3342588144
229	0.3339442052
230	0.333678931
231	0.333515829
232	0.3333065256
233	0.3331315048
234	0.3329070555
235	0.3325286059
236	0.3322355402
237	0.3318320669
238	0.3317035873
239	0.331350994
240	0.3311354744
241	0.3308478835
242	0.3306470127
243	0.3304542668
244	0.3302334161
245	0.3299159217
246	0.3296790309
247	0.3293965403
248	0.3290143
249	0.3287989026
250	0.3284590121
251	0.3282998128
252	0.3281510981
253	0.3278981649
254	0.3275924946
255	0.3273914843
256	0.3271460227
257	0.3267910386
258	0.3264025002
259	0.326162788
260	0.3257279945
261	0.3254830299
262	0.3251883653
263	0.3249622267
264	0.3247619724
265	0.3244706256
266	0.3242506763
267	0.324049563
268	0.3237867945
269	0.3233870488
270	0.3232019364
271	0.3230677419
272	0.3228281189
273	0.3225886849
274	0.3223873625
275	0.3222136534
276	0.3217789324
277	0.3215797459
278	0.3214138532
279	0.32126629
280	0.321160925
281	0.3208426567
282	0.3205443174
283	0.3203178459
284	0.3200565645
285	0.3196728488
286	0.3193540716
287	0.3191210765
288	0.3189457871
289	0.3186580027
290	0.3184662428
291	0.3182803562
292	0.3180835206
293	0.3178212588
294	0.3176700222
295	0.3174824922
296	0.3172103893
297	0.3169396936
298	0.3168173419
299	0.3166422331
