Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359290473207676
Random Forest,0.767590618336887,0.5535307517084282,0.6497326203208557,0.5977859778597786,0.81458655802372
CatBoost,0.7412935323383084,0.5090252707581228,0.7540106951871658,0.6077586206896551,0.821576478871052
